City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (Inches),Snow (Inches)
0,Mar Del Plata,AR,-38.0,-57.56,55.0,50,51,24.16,broken clouds,0.0,0
1,Jamestown,US,42.1,-79.24,69.01,93,90,23.04,heavy intensity rain,4.06,0
2,Nyandoma,RU,61.67,40.2,62.17,97,100,9.89,light rain,0.13,0
3,Albany,US,42.6,-73.97,89.01,70,48,4.0,light rain,0.19,0
4,Aden,YE,12.78,45.04,89.28,69,80,8.9,broken clouds,0.0,0
5,Avera,US,33.19,-82.53,91.4,46,40,5.82,scattered clouds,0.0,0
6,La Roda,ES,39.22,-2.15,87.8,35,1,12.75,clear sky,0.0,0
7,La Ronge,CA,55.1,-105.28,71.6,56,75,14.99,broken clouds,0.0,0
8,Kapaa,US,22.08,-159.32,80.6,69,40,16.11,scattered clouds,0.0,0
9,Brigantine,US,39.41,-74.36,84.2,74,1,8.05,clear sky,0.0,0
10,Fortuna,US,40.6,-124.16,63.0,93,90,12.75,overcast clouds,0.0,0
11,Nouadhibou,MR,20.93,-17.03,75.2,69,0,20.8,sand,0.0,0
12,Mataura,NZ,-46.19,168.86,44.71,93,100,4.59,light rain,0.43,0
13,Khani,GE,41.96,42.96,73.4,88,75,2.24,broken clouds,0.0,0
14,Khilok,RU,51.37,110.47,56.1,91,59,2.68,broken clouds,0.0,0
15,Portland,US,45.52,-122.68,73.99,56,40,4.7,scattered clouds,0.0,0
16,Tasiilaq,GL,65.61,-37.64,38.8,80,27,6.31,scattered clouds,0.0,0
17,Puerto Ayora,EC,-0.74,-90.35,70.0,88,98,3.0,overcast clouds,0.0,0
18,Punta Arenas,CL,-53.15,-70.92,37.4,69,75,13.87,broken clouds,0.0,0
19,Kolondieba,ML,11.09,-6.89,78.75,81,53,3.47,light rain,0.73,0
20,Avarua,CK,-21.21,-159.78,73.4,83,100,4.7,light rain,0.63,0
21,Kahului,US,20.89,-156.47,82.4,54,40,18.34,scattered clouds,0.0,0
22,Tuktoyaktuk,CA,69.45,-133.04,42.8,87,20,3.36,few clouds,0.0,0
23,Busselton,AU,-33.65,115.33,46.0,72,0,14.41,clear sky,0.0,0
24,Vostok,RU,46.49,135.88,51.76,98,32,2.68,scattered clouds,0.0,0
25,Nemuro,JP,43.32,145.57,56.57,96,94,8.19,overcast clouds,0.0,0
26,Vardo,NO,70.37,31.11,48.27,89,0,13.0,clear sky,0.0,0
27,Khatanga,RU,71.97,102.5,52.52,92,96,11.95,overcast clouds,0.0,0
28,Atuona,PF,-9.8,-139.03,79.16,79,11,18.43,light rain,0.17,0
29,Vanderhoof,CA,54.02,-124.02,57.88,80,100,2.75,light rain,0.67,0
30,Kununurra,AU,-15.77,128.73,71.6,27,35,6.93,scattered clouds,0.0,0
31,Margate,GB,51.38,1.39,66.99,48,8,4.0,clear sky,0.0,0
32,Ushuaia,AR,-54.8,-68.3,35.6,69,20,9.17,few clouds,0.0,0
33,Lisala,CD,2.15,21.52,73.29,94,100,0.36,moderate rain,1.92,0
34,Faya,SA,18.39,42.45,78.8,61,20,5.82,few clouds,0.0,0
35,Hilo,US,19.73,-155.09,77.0,69,90,11.41,overcast clouds,0.0,0
36,Pisco,PE,-13.7,-76.22,62.6,77,75,5.82,broken clouds,0.0,0
37,Gigmoto,PH,13.78,124.39,80.56,80,94,3.51,overcast clouds,0.0,0
38,Qaqortoq,GL,60.72,-46.03,57.2,71,75,5.82,broken clouds,0.0,0
39,Cabo San Lucas,MX,22.89,-109.91,90.0,55,40,10.29,scattered clouds,0.0,0
40,Koprivnica,HR,46.16,16.83,59.0,95,100,3.0,overcast clouds,0.0,0
41,Vaini,TO,-21.2,-175.2,71.6,83,75,10.29,broken clouds,0.0,0
42,East London,ZA,-33.02,27.91,56.84,63,92,21.74,light rain,0.2,0
43,Port Elizabeth,ZA,-33.92,25.57,51.8,76,49,17.22,light rain,0.11,0
44,Cape Town,ZA,-33.93,18.42,53.01,76,40,9.17,scattered clouds,0.0,0
45,Qaanaaq,GL,77.48,-69.36,45.07,59,74,1.72,broken clouds,0.0,0
46,Lahaina,US,20.88,-156.68,82.4,54,40,18.34,scattered clouds,0.0,0
47,Colares,PT,38.8,-9.45,81.0,51,20,14.99,few clouds,0.0,0
48,Ponta Delgada,PT,37.73,-25.67,71.6,64,75,6.93,broken clouds,0.0,0
49,Provideniya,RU,64.38,-173.3,54.09,59,0,2.44,clear sky,0.0,0
50,Cayenne,GF,4.93,-52.33,87.8,55,6,12.75,light rain,0.51,0
51,Uruzgan,AF,32.83,66.0,70.05,28,0,5.84,clear sky,0.0,0
52,Hermanus,ZA,-34.42,19.23,45.0,88,22,13.51,few clouds,0.0,0
53,Labuhan,ID,-6.88,112.21,76.21,85,35,7.36,scattered clouds,0.0,0
54,Waipawa,NZ,-41.41,175.52,51.8,71,0,17.22,clear sky,0.0,0
55,Toguchin,RU,55.24,84.39,57.18,84,0,2.13,clear sky,0.0,0
56,Anonang,PH,11.0,124.03,77.22,87,100,1.23,overcast clouds,0.0,0
57,Rikitea,PF,-23.12,-134.97,68.7,69,36,18.95,scattered clouds,0.0,0
58,Vila Velha,BR,-20.33,-40.29,78.01,61,0,9.17,clear sky,0.0,0
59,Bluff,NZ,-46.6,168.33,50.59,78,100,21.09,overcast clouds,0.0,0
60,Tabas,IR,33.6,56.92,96.8,19,0,4.7,clear sky,0.0,0
61,Didi Lilo,GE,41.74,44.96,71.6,88,100,1.88,overcast clouds,0.0,0
62,Adjumani,UG,3.38,31.79,68.22,92,96,2.24,moderate rain,1.11,0
63,Aswan,EG,24.09,32.91,93.27,16,0,11.54,clear sky,0.0,0
64,Gushikawa,JP,26.35,127.87,82.4,88,1,4.7,clear sky,0.0,0
65,Tautira,PF,-17.73,-149.15,78.8,61,20,8.05,few clouds,0.0,0
66,Ust-Tsilma,RU,65.44,52.15,63.34,56,100,1.07,overcast clouds,0.0,0
67,Longyearbyen,SJ,78.22,15.64,46.4,65,75,23.04,broken clouds,0.0,0
68,Alanya,TR,36.54,32.0,80.6,88,0,3.36,clear sky,0.0,0
69,Saskylakh,RU,71.92,114.08,62.98,86,1,8.05,clear sky,0.0,0
70,Brownsville,US,25.9,-97.5,96.01,53,40,13.87,scattered clouds,0.0,0
71,Sinnamary,GF,5.38,-52.95,83.62,73,80,10.98,broken clouds,0.0,0
72,Trabzon,TR,40.92,39.83,77.0,73,75,5.82,broken clouds,0.0,0
73,Port Alfred,ZA,-33.59,26.89,51.01,96,100,5.01,light rain,0.55,0
74,Fairbanks,US,64.84,-147.72,63.0,58,1,4.54,clear sky,0.0,0
75,Narsaq,GL,60.92,-46.05,57.2,71,75,5.82,broken clouds,0.0,0
76,Poum,NC,-20.23,164.02,69.64,76,0,11.9,clear sky,0.0,0
77,Muisne,EC,0.6,-80.03,75.96,83,97,8.79,overcast clouds,0.0,0
78,Hithadhoo,MV,-0.6,73.08,84.43,75,0,9.66,clear sky,0.0,0
79,Kutum,SD,14.2,24.67,80.1,47,95,5.91,overcast clouds,0.0,0
80,Mount Gambier,AU,-37.83,140.77,42.8,100,4,4.7,light intensity shower rain,0.0,0
81,Canapi,BR,-9.12,-37.6,80.2,52,0,13.6,clear sky,0.0,0
82,Yellowknife,CA,62.46,-114.35,73.99,60,75,10.29,broken clouds,0.0,0
83,Sioux Lookout,CA,50.1,-91.92,64.4,72,90,5.82,overcast clouds,0.0,0
84,Montrose,US,38.42,-108.27,90.0,16,0,5.99,clear sky,0.0,0
85,Katsuura,JP,35.13,140.3,77.0,94,75,5.82,light intensity shower rain,0.0,0
86,Hasaki,JP,35.73,140.83,77.0,88,75,9.17,broken clouds,0.0,0
87,Benguela,AO,-12.58,13.41,68.14,81,0,1.74,clear sky,0.0,0
88,Rawson,AR,-43.3,-65.1,46.99,51,0,31.68,clear sky,0.0,0
89,Sangar,RU,63.92,127.47,65.86,75,0,12.01,clear sky,0.0,0
90,Hofn,IS,64.25,-15.21,49.78,82,2,4.83,clear sky,0.0,0
91,Severo-Kurilsk,RU,50.68,156.12,50.68,92,100,2.95,light rain,0.5,0
92,Gamba,GA,-2.65,10.0,72.54,89,62,6.15,broken clouds,0.0,0
93,Acarau,BR,-2.89,-40.12,82.27,70,29,14.2,scattered clouds,0.0,0
94,Isla Mujeres,MX,21.23,-86.73,89.6,66,40,6.93,scattered clouds,0.0,0
95,Nikolskoye,RU,59.7,30.79,62.01,67,75,13.42,broken clouds,0.0,0
96,Tiznit,MA,29.58,-9.5,86.63,30,0,5.95,clear sky,0.0,0
97,Rio Gallegos,AR,-51.62,-69.22,32.0,85,40,16.11,scattered clouds,0.0,0
98,Damavand,IR,35.72,52.06,91.4,16,40,6.93,scattered clouds,0.0,0
99,Sitka,US,57.05,-135.33,55.4,87,75,9.17,light rain,0.51,0
100,Georgetown,MY,5.41,100.34,80.6,94,20,4.7,few clouds,0.0,0
101,Tura,IN,25.52,90.22,74.79,98,99,7.29,light rain,0.45,0
102,Kaitangata,NZ,-46.28,169.85,50.0,60,100,5.99,light rain,0.56,0
103,Dingle,PH,11.0,122.67,76.87,87,98,1.1,overcast clouds,0.0,0
104,Thinadhoo,MV,0.53,72.93,84.15,75,0,7.63,clear sky,0.0,0
105,Ayolas,PY,-27.4,-56.9,65.23,93,100,7.0,light rain,0.25,0
106,Miri,MY,4.41,114.01,77.0,94,20,3.36,few clouds,0.0,0
107,Kempele,FI,64.91,25.5,60.8,72,0,11.41,clear sky,0.0,0
108,Kodiak,US,57.79,-152.41,58.86,74,55,2.57,broken clouds,0.0,0
