,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mar Del Plata,AR,55.0,broken clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
4,Aden,YE,89.28,broken clouds,12.78,45.04,Sama Emirate Hotel
6,La Roda,ES,87.8,clear sky,39.22,-2.15,Restaurante El Sueño de Jemik
7,La Ronge,CA,71.6,broken clouds,55.1,-105.28,Northland Motor Hotel
8,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
9,Brigantine,US,84.2,clear sky,39.41,-74.36,Legacy Vacation Resort Brigantine Beach
10,Fortuna,US,63.0,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
11,Nouadhibou,MR,75.2,sand,20.93,-17.03,El Medina
13,Khani,GE,73.4,broken clouds,41.96,42.96,Nino village
14,Khilok,RU,56.1,broken clouds,51.37,110.47,Гостиница ВИОЛА
15,Portland,US,73.99,scattered clouds,45.52,-122.68,Portland Marriott City Center
17,Puerto Ayora,EC,70.0,overcast clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
21,Kahului,US,82.4,scattered clouds,20.89,-156.47,Maui Seaside Hotel
24,Vostok,RU,51.76,scattered clouds,46.49,135.88,
25,Nemuro,JP,56.57,overcast clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
27,Khatanga,RU,52.52,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
30,Kununurra,AU,71.6,scattered clouds,-15.77,128.73,Hotel Kununurra
31,Margate,GB,66.99,clear sky,51.38,1.39,Premier Inn Margate hotel
34,Faya,SA,78.8,few clouds,18.39,42.45,مقبرة ال مجمل
35,Hilo,US,77.0,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
36,Pisco,PE,62.6,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
37,Gigmoto,PH,80.56,overcast clouds,13.78,124.39,Cj's Travellers Inn
38,Qaqortoq,GL,57.2,broken clouds,60.72,-46.03,Hotel Qaqortoq
39,Cabo San Lucas,MX,90.0,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
40,Koprivnica,HR,59.0,overcast clouds,46.16,16.83,Podravina
41,Vaini,TO,71.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
44,Cape Town,ZA,53.01,scattered clouds,-33.93,18.42,"Radisson Blu Hotel Waterfront, Cape Town"
46,Lahaina,US,82.4,scattered clouds,20.88,-156.68,Lahaina Shores Beach Resort
47,Colares,PT,81.0,few clouds,38.8,-9.45,Arribas Sintra Hotel
48,Ponta Delgada,PT,71.6,broken clouds,37.73,-25.67,Vila Nova Hotel
49,Provideniya,RU,54.09,clear sky,64.38,-173.3,
51,Uruzgan,AF,70.05,clear sky,32.83,66.0,
53,Labuhan,ID,76.21,scattered clouds,-6.88,112.21,bador sepret
54,Waipawa,NZ,51.8,clear sky,-41.41,175.52,Tora Coastal Walk
55,Toguchin,RU,57.18,clear sky,55.24,84.39,Stolitsa
56,Anonang,PH,77.22,overcast clouds,11.0,124.03,El Paradisio Resort
57,Rikitea,PF,68.7,scattered clouds,-23.12,-134.97,Pension Maro'i
58,Vila Velha,BR,78.01,clear sky,-20.33,-40.29,Píer Vitória Hotel - Hotel em Vitória/ES
59,Bluff,NZ,50.59,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
61,Didi Lilo,GE,71.6,overcast clouds,41.74,44.96,Hotel Dighomi
64,Gushikawa,JP,82.4,clear sky,26.35,127.87,Kirari Guest House
65,Tautira,PF,78.8,few clouds,-17.73,-149.15,Pension Oaoa
66,Ust-Tsilma,RU,63.34,overcast clouds,65.44,52.15,U Praskov'i
68,Alanya,TR,80.6,clear sky,36.54,32.0,Panorama Hotel
69,Saskylakh,RU,62.98,clear sky,71.92,114.08,
71,Sinnamary,GF,83.62,broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
72,Trabzon,TR,77.0,broken clouds,40.92,39.83,Novotel Trabzon
74,Fairbanks,US,63.0,clear sky,64.84,-147.72,Westmark Fairbanks Hotel & Conference Center
75,Narsaq,GL,57.2,broken clouds,60.92,-46.05,Hotel Narsaq
76,Poum,NC,69.64,clear sky,-20.23,164.02,Gîte kajeon
77,Muisne,EC,75.96,overcast clouds,0.6,-80.03,Quinta Samay
78,Hithadhoo,MV,84.43,clear sky,-0.6,73.08,Scoop Guest House
79,Kutum,SD,80.1,overcast clouds,14.2,24.67,Dibbo areaمنطقة دبو
81,Canapi,BR,80.2,clear sky,-9.12,-37.6,
82,Yellowknife,CA,73.99,broken clouds,62.46,-114.35,The Explorer Hotel
83,Sioux Lookout,CA,64.4,overcast clouds,50.1,-91.92,Knobby's Fly-In Camps
84,Montrose,US,90.0,clear sky,38.42,-108.27,
85,Katsuura,JP,77.0,light intensity shower rain,35.13,140.3,Katsuura Hotel Mikazuki
86,Hasaki,JP,77.0,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
87,Benguela,AO,68.14,clear sky,-12.58,13.41,Hotel Praia Morena
89,Sangar,RU,65.86,clear sky,63.92,127.47,
92,Gamba,GA,72.54,broken clouds,-2.65,10.0,
93,Acarau,BR,82.27,scattered clouds,-2.89,-40.12,castelo pizzaria
94,Isla Mujeres,MX,89.6,scattered clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
95,Nikolskoye,RU,62.01,broken clouds,59.7,30.79,Tourist House - Sablino
96,Tiznit,MA,86.63,clear sky,29.58,-9.5,AMICAL TITRIT OUGLO ودادية تيتريت أوكلو
100,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
103,Dingle,PH,76.87,overcast clouds,11.0,122.67,Camp Pasica
104,Thinadhoo,MV,84.15,clear sky,0.53,72.93,
106,Miri,MY,77.0,few clouds,4.41,114.01,"Mega Hotel, Miri"
107,Kempele,FI,60.8,clear sky,64.91,25.5,Finlandia Hotel Airport Oulu
108,Kodiak,US,58.86,broken clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
110,Kitzingen,DE,68.0,clear sky,49.73,10.17,Hotel Kitzinger Hof
114,Silleda,ES,84.0,few clouds,42.7,-8.25,Hotel Ramos
115,Smithers,CA,57.2,broken clouds,54.78,-127.17,Prestige Hudson Bay Lodge
118,Bredasdorp,ZA,50.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
119,Umm Lajj,SA,84.11,clear sky,25.02,37.27,Moon light Furnished Units
120,Guerrero Negro,MX,89.71,clear sky,27.98,-114.06,The Halfway Inn
121,Torbay,CA,69.01,broken clouds,47.67,-52.73,Gallows Cove
122,Namibe,AO,64.56,clear sky,-15.2,12.15,Hotel Chik Chik Namibe
123,Kinablangan,PH,78.13,overcast clouds,7.69,126.55,Mainit Balete Hot Spring
124,Yanam,IN,82.71,overcast clouds,16.73,82.22,The Regency Hotel
126,Aklavik,CA,53.6,scattered clouds,68.22,-135.01,Aklavik Inn
127,Mandalgovi,MN,63.64,clear sky,45.76,106.27,В.Ганбат
128,Kungurtug,RU,52.5,overcast clouds,50.6,97.52,
129,Kudahuvadhoo,MV,83.79,few clouds,2.67,72.89,Kudahuvadhoo Retreat
130,Ribeira Grande,PT,73.4,scattered clouds,38.52,-28.7,Quinta da Meia Eira
131,Ballina,AU,61.0,overcast clouds,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
132,Ladario,BR,89.6,few clouds,-19.0,-57.6,Hotel Laura Vicunha
133,Olafsvik,IS,51.82,overcast clouds,64.89,-23.71,Hotel Olafsvik
134,Taree,AU,51.8,overcast clouds,-31.9,152.47,All Seasons Country Lodge Taree
135,Sovetskiy,RU,65.53,few clouds,61.36,63.58,Apartment on Kievskaya 29
137,Mehran,IR,86.0,clear sky,33.12,46.16,زائرسرای نور
139,Santo Augusto,BR,57.2,overcast clouds,-27.85,-53.78,Hotel Marco Polo
141,Bethel,US,84.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
143,Santiago Del Estero,AR,67.37,few clouds,-27.8,-64.26,Hotel Urbano
144,Tashtagol,RU,51.96,scattered clouds,52.77,87.89,Guest House u Tumannoy
145,Touros,BR,73.4,light rain,-5.2,-35.46,Casa Palma Azul de praia com piscina
147,Rafaela,AR,63.0,overcast clouds,-31.25,-61.49,Parra Hotel & Suites
