City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Jamestown,US,2020-07-09 15:50:09,42.1,-79.24,82.4,61,20,3.36
1,Yerbogachen,RU,2020-07-09 15:49:05,61.28,108.01,53.53,91,54,2.89
2,Kapaa,US,2020-07-09 15:50:06,22.08,-159.32,77.0,83,75,13.87
3,Bukama,CD,2020-07-09 15:52:48,-9.2,25.85,85.37,23,0,3.8
4,Bredasdorp,ZA,2020-07-09 15:50:28,-34.53,20.04,55.4,87,100,17.22
5,Cabo San Lucas,MX,2020-07-09 15:50:05,22.89,-109.91,86.0,74,20,10.29
6,Mataura,NZ,2020-07-09 15:50:06,-46.19,168.86,42.87,92,94,5.61
7,Severo-Kurilsk,RU,2020-07-09 15:50:34,50.68,156.12,48.69,94,100,16.58
8,Cidreira,BR,2020-07-09 15:50:26,-30.18,-50.21,55.54,62,0,19.42
9,Cape Town,ZA,2020-07-09 15:46:49,-33.93,18.42,55.0,93,75,16.11
10,Saint-Francois,FR,2020-07-09 15:52:49,46.42,3.91,91.4,26,24,9.17
11,Whitehorse,CA,2020-07-09 15:52:49,60.72,-135.05,50.0,76,75,8.05
12,Ust-Kut,RU,2020-07-09 15:52:50,56.79,105.77,58.41,87,56,4.5
13,Fiche,ET,2020-07-09 15:52:50,9.8,38.73,56.7,86,46,2.24
14,Esperance,AU,2020-07-09 15:50:20,-33.87,121.9,48.2,76,90,6.93
15,Rikitea,PF,2020-07-09 15:50:09,-23.12,-134.97,68.07,62,4,16.35
16,Saldanha,ZA,2020-07-09 15:51:37,-33.01,17.94,55.4,93,100,6.93
17,Busselton,AU,2020-07-09 15:50:13,-33.65,115.33,45.0,86,3,8.59
18,Maningrida,AU,2020-07-09 15:51:19,-12.07,134.27,70.11,89,19,10.02
19,Upernavik,GL,2020-07-09 15:50:13,72.79,-56.15,43.99,63,38,9.44
20,Port Lincoln,AU,2020-07-09 15:51:40,-34.73,135.87,53.69,54,100,14.36
21,Qaanaaq,GL,2020-07-09 15:50:08,77.48,-69.36,47.82,51,2,7.87
22,Saskylakh,RU,2020-07-09 15:50:12,71.92,114.08,49.08,68,50,11.95
23,Albany,US,2020-07-09 15:47:02,42.6,-73.97,84.0,79,4,2.84
24,Saint George,US,2020-07-09 15:50:10,37.1,-113.58,81.0,9,1,5.82
25,Zhaodong,CN,2020-07-09 15:52:51,46.08,125.98,69.8,94,0,2.24
26,Yumen,CN,2020-07-09 15:52:51,40.28,97.2,74.44,19,0,8.77
27,Kununurra,AU,2020-07-09 15:50:47,-15.77,128.73,59.0,33,33,8.75
28,Husavik,IS,2020-07-09 15:51:14,66.04,-17.34,51.8,62,75,19.46
29,Hermanus,ZA,2020-07-09 15:50:06,-34.42,19.23,52.0,95,100,8.01
30,Atuona,PF,2020-07-09 15:50:08,-9.8,-139.03,79.34,75,14,14.16
31,Nome,US,2020-07-09 15:50:20,64.5,-165.41,50.0,93,75,8.05
32,Saint-Philippe,RE,2020-07-09 15:50:26,-21.36,55.77,69.8,83,75,18.34
33,Hithadhoo,MV,2020-07-09 15:50:37,-0.6,73.08,85.17,68,100,4.14
34,Luderitz,NA,2020-07-09 15:50:15,-26.65,15.16,62.6,67,96,13.87
35,Provideniya,RU,2020-07-09 15:50:44,64.38,-173.3,49.21,87,36,1.34
36,Puerto Ayora,EC,2020-07-09 15:50:06,-0.74,-90.35,68.0,95,98,5.01
37,Padang,ID,2020-07-09 15:46:01,-0.95,100.35,77.49,80,100,4.97
38,Susehri,TR,2020-07-09 15:52:53,40.16,38.09,68.79,59,89,6.98
39,Faanui,PF,2020-07-09 15:51:11,-16.48,-151.75,76.06,80,30,24.38
40,Bluff,NZ,2020-07-09 15:50:08,-46.6,168.33,49.66,75,96,20.38
41,Manado,ID,2020-07-09 15:52:54,1.49,124.85,77.0,88,20,2.24
42,Oranjemund,NA,2020-07-09 15:52:54,-28.55,16.43,59.2,65,44,18.25
43,Vaini,TO,2020-07-09 15:50:08,-21.2,-175.2,71.6,94,75,5.82
44,Pevek,RU,2020-07-09 15:50:12,69.7,170.31,49.87,67,89,3.91
45,Ushuaia,AR,2020-07-09 15:49:32,-54.8,-68.3,35.6,74,40,3.36
46,Hovd,MN,2020-07-09 15:51:46,48.01,91.64,62.37,50,11,3.85
47,Port Alfred,ZA,2020-07-09 15:50:10,-33.59,26.89,82.99,26,89,4.0
48,Tiksi,RU,2020-07-09 15:51:03,71.69,128.87,33.69,94,100,8.86
49,Ilhabela,BR,2020-07-09 15:50:08,-23.78,-45.36,68.67,73,81,10.69
50,Kashi,CN,2020-07-09 15:52:55,39.45,75.98,77.0,33,40,8.95
51,Bambous Virieux,MU,2020-07-09 15:50:56,-20.34,57.76,72.0,60,40,17.22
